source,address,city,state,zip,beds,baths,sqft,lot_size,year_built,rent,deposit,pets_allowed,property_type,mls_number,listing_url,description,listed_date,scraped_at,photos,lat,lng
redfin,201B 87th St,Virginia Beach,VA,23451,2.0,1.5,1050,,,3300,,,single family,,https://www.redfin.com/VA/Virginia-Beach/201B-87th-St-23451/home/194409660,"Original Beach Cottage for rent. One block from the beach. Located in the quiet North End section of Virginia Beach. A rare find!
Included in rent: All utilities and lawn service",2025-01-24T00:26:57.165765Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.9121634%2C-75.9951226&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=e75T7kUDfldEkY668JukrO-YBtc=,36.9121634,-75.9951226
redfin,333 N Birdneck Rd,Virginia Beach,VA,23451,2.0,1.0,1036,,,2850,,,single family,,https://www.redfin.com/VA/Virginia-Beach/333-N-Birdneck-Rd-23451/home/49513766,"Beach Life is calling! Updated, beautifully fully furnished 2 BR, 1 bath, cottage style home near the Va. Bch. Conv. Ctr. Less than 2 miles to the oceanfront & Vibe Creative District. Open concept LR...",2026-06-06T12:40:03.748473Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8435224%2C-75.9962782&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=AcP84KsDjBEoryhePD8xvbG8ENM=,36.8435224,-75.9962782
redfin,904 Rudee Ave,Virginia Beach,VA,23451,3.0,2.5,1250,,,2990,,,single family,,https://www.redfin.com/VA/Virginia-Beach/904-Rudee-Ave-23451/home/49515201,All brick 3 bedroom remodeled ranch just blocks from the oceanfront and restaurants. Huge back yard with privacy fence. Nice sized storage shed in back yard for bikes etc. Brand new LVP flooring....,2026-05-14T12:44:44.559694Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8363484%2C-75.9851221&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=Wtg0MT6-wnhR6q2peQqJ6dQZi08=,36.8363484,-75.9851221
redfin,908 Terrace Ave,Virginia Beach,VA,23451,3.0,2.5,1656,,,2750,,,single family,,https://www.redfin.com/VA/Virginia-Beach/908-Terrace-Ave-23451/home/49515750,"This beautiful 3 bed 2.5 bath property is located in one of Virginia Beaches premier waterfront communities.  Located approximately one mile from the Virginia Beach waterfront/Rudee Inlet, this home...",2026-06-05T02:35:26.228003Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8311584%2C-75.9843114&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=cqUiCMFweVRquoKS03DOPK0qVzg=,36.8311584,-75.9843114
redfin,531 Terrace Ave,Virginia Beach,VA,23451,3.0,1.0,1026,,,2500,,,single family,,https://www.redfin.com/VA/Virginia-Beach/531-Terrace-Ave-23451/home/49523848,"Wonderful coastal cottage located in the heart of the marina district. Nestle in the Shadowlawn neighborhood and convenientlyclose to shops, restaurants, beach, interstate, and the new surf park and...",2026-05-02T13:09:33.154604Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8329823%2C-75.977884&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=JiSvq_oTRdhvwgLZwFasUF9zqwE=,36.8329823,-75.977884
redfin,2416 Arctic Ave,Virginia Beach,VA,23451,3.0,2.0,,,,3250,,,single family,,https://www.redfin.com/VA/Virginia-Beach/2416-Arctic-Ave-23451/home/49524324,"FULLY FURNISHED MONTHLY BEACH RENTAL ! AVAILABLE OCTOBER-MAY Welcome to Fun in The Sun -- a beautifully updated single-family beach home in the heart of the Virginia Beach Oceanfront, just two blocks...",2026-06-05T11:30:00.834309Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8524806%2C-75.9797107&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=xCQbC4PgnLBV7qXZlfjUtUjSFk8=,36.8524806,-75.9797107
redfin,488 S Birdneck Rd,Virginia Beach,VA,23451,3.0,2.0,1664,,,3000,,,single family,,https://www.redfin.com/VA/Virginia-Beach/488-S-Birdneck-Rd-23451/home/49532135,"GREAT 3 BEDROOM BIRDNECK RANCH! DRIVEWAY WITH EXTRA PARKING, FENCED IN BACKYARD. CONVENIENT TO BASES, BEACH, INTERSTATE AND RESTAURANTS.",2026-06-05T12:44:29.944572Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8253972%2C-75.997738&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=080n7q9nZXorFQpdKgq1K2GnC9Q=,36.8253972,-75.997738
redfin,423 Harbour Pt,Virginia Beach,VA,23451,2.0,2.0,1300,,,2600,,,single family,,https://www.redfin.com/VA/Virginia-Beach/423-Harbour-Pt-23451/home/201541814,"First floor condo in Harbour Point Condo on Rudee Inlet, just a short walk to the beach and easy access attractions. This 2 bed, 2 bath condo has an updated kitchen, new appliances, new flooring,...",2026-06-05T11:54:41.769100Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8295228%2C-75.9749888&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=pzJR0uAL1ZvUJ6vpWA4ITLatkPs=,36.8295228,-75.9749888
redfin,1169 Birdneck Lake Dr,Virginia Beach,VA,23451,3.0,2.5,2058,,,3300,,,single family,,https://www.redfin.com/VA/Virginia-Beach/1169-Birdneck-Lake-Dr-23451/home/49512554,"Bring your sunglasses to fully appreciate this light-filled home in sought-after Birdneck Lake. Designed with a contemporary flair and highly functional layout, this tastefully updated home shines...",2026-06-07T12:35:20.333126Z,2026-06-08T13:01:43+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.8060722%2C-75.9896822&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=QKDwya3X7EzaDlKDWGeepZJwx2I=,36.8060722,-75.9896822
redfin,220 S Rosemont Rd,Virginia Beach,VA,23452,4.0,2.0,1350,,,2650,,,single family,,https://www.redfin.com/VA/Virginia-Beach/220-S-Rosemont-Rd-23452/home/49466550,"This fully renovated 4-bed, 2-bath ranch home has new waterproof laminate floors throughout main areas, carpeted bedrooms and a brand-new HVAC system for year-round comfort. The kitchen features...",2026-05-11T10:00:07.026680Z,2026-06-08T13:01:45+00:00,https://maps.google.com/maps/api/staticmap?sensor=false&style=feature%3Aadministrative.land_parcel%7Cvisibility%3Aoff&style=feature%3Alandscape.man_made%7Cvisibility%3Aoff&style=feature%3Atransit.station%7Chue%3A0xffa200&center=36.832828%2C-76.0949047&channel=seekers-search_map&size=200x200&format=jpg&scale=1&zoom=11&key=AIzaSyA_29QNQgZnWV-qXu1LyNzrLuiHCDGCJGU&signature=cP0expBmRsg1ALMm3O4g37Svua0=,36.832828,-76.0949047
